country,denomination,series,metal,fineness,weight_grams,diameter_mm,thickness_mm,edge,years_start,years_end,asset_category,numista_url,ngc_url,pcgs_url,notes
USA,Quarter Dollar,Washington (1965-1998),Cu-Ni,1,5.67,24.26,1.75,Reeded,1965,1998,COIN,https://en.numista.com/catalogue/pieces55.html,https://www.ngccoin.com/coin-explorer/united-states/quarters/washington-quarters-1932-1998/,https://www.pcgs.com/prices/detail/washington-quarter/112/all/ms,
USA,Quarter Dollar,State Quarter Series (1999-2009),Cu-Ni,1,5.67,24.26,1.75,Reeded,1999,2009,COIN,https://en.numista.com/catalogue/series.php?id=7180,https://www.ngccoin.com/coin-explorer/united-states/quarters/state-and-territorial-quarters-1999-2009/,https://www.pcgs.com/prices/detail/washington-50-states-quarters/720/all/ms,
USA,Quarter Dollar,National Park Series (2010-2021),Cu-Ni,1,5.67,24.26,1.75,Reeded,2010,2021,COIN,https://en.numista.com/catalogue/series.php?id=1332,https://www.ngccoin.com/coin-explorer/united-states/quarters/america-the-beautiful-quarters-2010-2021/,https://www.pcgs.com/prices/detail/washington-america-beautiful-quarters/1715/all/ms,
USA,Dime,Barber (1892-1916),Ag,0.9,2.5,17.9,1.2,Reeded,1892,1916,COIN,https://en.numista.com/catalogue/pieces5830.html,https://www.ngccoin.com/coin-explorer/united-states/dimes/barber-dimes-1892-1916/,https://www.pcgs.com/prices/detail/barber-dime/702/all/ms,
USA,Dime,Mercury (1916-1945),Ag,0.9,2.5,17.9,1,Reeded,1916,1945,COIN,https://en.numista.com/catalogue/pieces51.html,https://www.ngccoin.com/coin-explorer/united-states/dimes/mercury-dimes-1916-1945/,https://www.pcgs.com/prices/detail/mercury-dime/703/all/ms,
USA,Dime,Roosevelt 90% Silver (1946-1964),Ag,0.9,2.5,17.9,1.1,Reeded,1946,1964,COIN,https://en.numista.com/catalogue/pieces52.html,https://www.ngccoin.com/coin-explorer/united-states/dimes/roosevelt-dimes-1946-date/,https://www.pcgs.com/prices/detail/roosevelt-dime/98/all/ms,
USA,Dime,Roosevelt (1965-Present),Cu-Ni,1,2.268,17.91,1.35,Reeded,1965,,COIN,https://en.numista.com/catalogue/pieces53.html,https://www.ngccoin.com/coin-explorer/united-states/dimes/roosevelt-dimes-1946-date/,https://www.pcgs.com/prices/detail/roosevelt-dime/98/all/ms,
USA,Nickel,Jefferson Nickel (1938-2003),Cu-Ni,1,5,21.2,1.75,Plain,1938,2003,COIN,https://en.numista.com/catalogue/pieces44.html,https://www.ngccoin.com/coin-explorer/united-states/nickels/jefferson-five-cents-1938-date/,https://www.pcgs.com/prices/detail/jefferson-nickel/84/all/ms,
USA,Nickel,Buffalo Flat Ground (1913-1938),Cu-Ni,1,5,21.2,1.95,Plain,1913,1938,COIN,https://en.numista.com/catalogue/pieces1109.html,https://www.ngccoin.com/coin-explorer/united-states/nickels/buffalo-five-cents-1913-1938/,https://www.pcgs.com/prices/detail/buffalo-nickel/83/all/ms,
USA,Nickel,War Nickel (1942-1945),Ag,0.35,5,21.2,1.95,Plain,1942,1945,COIN,https://en.numista.com/catalogue/pieces45.html,https://www.ngccoin.com/price-guide/series-detail.aspx?MVDetailID=1&Series=Jefferson-Nickel-Wartime-Silver-Alloy,https://www.pcgs.com/coinfacts/category/nickels/jefferson-nickel/type-2-silver-alloy-1942-1945/679,
USA,Nickel,Liberty Head (1883-1913),Cu-Ni,1,5,21.2,1.95,Plain,1883,1913,COIN,https://en.numista.com/catalogue/pieces3683.html,https://www.ngccoin.com/coin-explorer/united-states/nickels/liberty-head-five-cents-1883-1913/,https://www.pcgs.com/prices/detail/liberty-nickel/82/all/ms,
USA,Three Cent,Nickel (1865-1889),Cu-Ni,1,1.94,17.9,1.15,Plain,1865,1889,COIN,https://en.numista.com/catalogue/pieces5336.html,https://www.ngccoin.com/coin-explorer/united-states/three-cents/nickel-three-cents-1865-1889/,https://www.pcgs.com/prices/detail/three-cent-nickel/671/all/ms,
USA,Large One Cent,Liberty Head Braided Hair (1839-1857),Cu,1,10.89,27.5,2.39,Plain,1839,1857,COIN,https://en.numista.com/catalogue/pieces982.html,https://www.ngccoin.com/coin-explorer/united-states/cents/braided-hair-cents-1839-1857/,https://www.pcgs.com/prices/detail/braided-hair-cent/663/all/ms,
USA,One Cent,Indian Head (1864-1909),Cu-Sn-Zn,1,3.11,19,1.47,Plain,1864,1909,COIN,https://en.numista.com/catalogue/pieces2356.html,https://www.ngccoin.com/coin-explorer/united-states/cents/indian-cents-1859-1909/,https://www.pcgs.com/prices/detail/indian-cent/44/all/ms,
USA,One Cent,Wheat (1909-1958),Cu-Sn-Zn,1,3.11,19,1.4,Plain,1909,1958,COIN,https://en.numista.com/catalogue/pieces908.html,https://www.ngccoin.com/coin-explorer/united-states/cents/lincoln-cents-wheat-reverse-1909-1958/,https://www.pcgs.com/prices/detail/lincoln-cent-wheat-reverse/46/all/ms,
USA,One Cent,Memorial (1959-2008),Cu-Sn-Zn,1,2.5,19.05,1.3,Plain,1959,2008,COIN,https://en.numista.com/catalogue/pieces43.html,https://www.ngccoin.com/coin-explorer/united-states/cents/lincoln-cents-memorial-reverse-1959-2008/,https://www.pcgs.com/prices/detail/lincoln-cent-modern/47/all/ms,Prior to 1982 copper weight is 3.1
USA,Half Cent,Classic Head (1809-1836),Cu,1,5.44,23.5,0,Plain,1809,1836,COIN,https://en.numista.com/catalogue/pieces30704.html,https://www.ngccoin.com/coin-explorer/united-states/half-cents/classic-head-half-cents-1809-1836/,https://www.pcgs.com/prices/detail/classic-head-half-cent/654/all/ms,
